in:Number_of_Skylights,in:Width[m],in:Height[m],out:area_over_2%DF[%],img
1,2,1,0,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_0_Top.png?raw=true
2,2,1,39,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_0_Alto(m)_0_Top.png?raw=true
3,2,1,50,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_0_Alto(m)_0_Top.png?raw=true?raw=true
1,4,1,30,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_1_Alto(m)_0_Top.png?raw=true
2,4,1,40,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_1_Alto(m)_0_Top.png?raw=true
3,4,1,52,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_1_Alto(m)_0_Top.png?raw=true
1,6,1,30,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_2_Alto(m)_0_Top.png?raw=true
2,6,1,39,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_2_Alto(m)_0_Top.png?raw=true
3,6,1,52,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_2_Alto(m)_0_Top.png?raw=true
1,2,1.5,32,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_1_Top.png?raw=true
2,2,1.5,44,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_0_Alto(m)_1_Top.png?raw=true
3,2,1.5,55,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_0_Alto(m)_1_Top.png?raw=true
1,4,1.5,33,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_1_Alto(m)_1_Top.png?raw=true
2,4,1.5,46,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_1_Alto(m)_1_Top.png?raw=true
3,4,1.5,57,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_1_Alto(m)_1_Top.png?raw=true
1,6,1.5,34,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_2_Alto(m)_1_Top.png?raw=true
2,6,1.5,48,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_2_Alto(m)_1_Top.png?raw=true
3,6,1.5,59,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_2_Alto(m)_1_Top.png?raw=true
1,2,2,32,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_2_Top.png?raw=true
2,2,2,44,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_0_Alto(m)_2_Top.png?raw=true
3,2,2,56,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_0_Alto(m)_2_Top.png?raw=true
1,4,2,35,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_1_Alto(m)_2_Top.png?raw=true
2,4,2,50,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_1_Alto(m)_2_Top.png?raw=true
3,4,2,62,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_1_Alto(m)_2_Top.png?raw=true
1,6,2,37,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_2_Alto(m)_2_Top.png?raw=true
2,6,2,53,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_2_Ancho(m)_2_Alto(m)_2_Top.png?raw=true
3,6,2,63,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_3_Ancho(m)_2_Alto(m)_2_Top.png?raw=true
1,2,1,30,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_1_Ancho(m)_0_Alto(m)_0_Top.png?raw=true
5,2,1,72,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_0_Alto(m)_0_Top.png?raw=true
5,4,1,75,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_1_Alto(m)_0_Top.png?raw=true
5,6,1,78,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_2_Alto(m)_0_Top.png?raw=true
5,2,1.5,81,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_0_Alto(m)_1_Top.png?raw=true
5,4,1.5,96,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_1_Alto(m)_1_Top.png?raw=true
5,6,1.5,98,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_2_Alto(m)_1_Top.png?raw=true
5,2,2,89,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_0_Alto(m)_2_Top.png?raw=true
5,4,2,99,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_1_Alto(m)_2_Top.png?raw=true
5,6,2,99,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_5_Ancho(m)_2_Alto(m)_2_Top.png?raw=true
10,2,1,99,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_10_Ancho(m)_0_Alto(m)_0_Top.png?raw=true
10,4,1,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_10_Ancho(m)_1_Alto(m)_0_Top.png?raw=true
10,2,1.5,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_10_Ancho(m)_0_Alto(m)_1_Top.png?raw=true
10,4,1.5,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_10_Ancho(m)_1_Alto(m)_1_Top.png?raw=true
10,2,2,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_10_Ancho(m)_0_Alto(m)_2_Top.png?raw=true
10,4,2,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_10_Ancho(m)_1_Alto(m)_2_Top.png?raw=true
15,2,1,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_15_Ancho(m)_0_Alto(m)_0_Top.png?raw=true
15,3,1,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_15_Ancho(m)_1_Alto(m)_0_Top.png?raw=true
15,2,1.5,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_15_Ancho(m)_0_Alto(m)_1_Top.png?raw=true
15,3,1.5,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_15_Ancho(m)_1_Alto(m)_1_Top.png?raw=true
15,2,2,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_15_Ancho(m)_0_Alto(m)_2_Top.png?raw=true
15,3,2,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_15_Ancho(m)_1_Alto(m)_2_Top.png?raw=true
20,2.25,1,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_25_Ancho(m)_1_Alto(m)_0_Top.png?raw=true
20,2.25,1.5,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_25_Ancho(m)_1_Alto(m)_1_Top.png?raw=true
20,2.25,2,100,https://github.com/rafael-a/DE_Alrio_Data/blob/master/NumerodeLucernarios_25_Ancho(m)_1_Alto(m)_2_Top.png?raw=true
